index,author,location,date,headline,review_body,review_rating,num_like,language,itemName
0,Bobby Powers,unknown,2022-06-07T02:35:02.000Z,Customer service helping scammers,"Booked a room that the host didn’t provide a unit number or access code and they would not assist in contacting the owner for this information. Host would not respond to any form of communication and booking.com wouldn’t release me from the reservation, they insisted I arrive and not have a room before they would help. This is literally the reason why I booked ahead, to avoid the problem they are making me deal with. Little to no help on the service line, they will always tell you 24-48 hours and that they’ll call back but they don’t and they don’t take any action after 24-48 hours they just start the time period over.",1,0,en,Bookingstar1
1,Ibtasam Yousaf,unknown,2022-06-06T23:42:06.000Z,Scammer company. Please do not use them.,We booked an apartment through these thieves and the apartment was not habitual to live in. We got stranded on streets with 2 little kids and no where to go. We called them twice and they cut the phone every time. Had to book a hotel from another company. We tried calling them again and they cut the phone on us. Please please do not book from them. They are scammers!,1,0,en,Bookingstar1
2,Marjorie,unknown,2022-06-06T23:13:50.000Z,If I could give 0 stars I would.Asked…,"If I could give 0 stars I would.Asked for their help for a refund and they eventually after many emails back and forth they just fobbed me off.Disgusting behavior towards their customers.Obiously more interested in taking your money than customer satisfaction.I will never use them again and BE AWARE,THEY DONT CARE ABOUT THEIR CUSTOMERS",1,0,en,Bookingstar1
3,NoShowCustomer,unknown,2022-06-06T22:46:55.000Z,I wish it would have 0 ZERO star,"I wish it would have 0 ZERO star. Rubbish customer service. ****Be Aware**** if hotel/guesthouse does bad with you. Bookings.com's shty service can't do anything. Your money will be taken so try not to give your card detail or pay in advance otherwise you are screwed badly. I booked 2 nights in Achilty Guest House Contin. Went there and that Bd was so arrogant. He showed me the rooms and gave me keys. I asked him about cot we requested which he confirmed in the message. I asked again and he got angry and snatched keys out of my hands and asked me to leave the property. The main reason was I had paid the money in advance. I even provided the video but nothing. They classify it as 'No Show' and took my 2 nights full money. I wish I could write ####ABUSIVE LANGUAGE####.***Be Aware*** bookings.com has a 'No Show' SCAM and cant do sh !t, can't help the customers only accommodate properties because they are making money from them. Don't be fool and try go look for any other site.",1,0,en,Bookingstar1
4,sarocchia sarocchia,unknown,2022-06-06T22:40:19.000Z,NEVER AGAIN,"I booked a round ticket for 2 family members. I called booking.com to add my child, a minor, who was supposed to flight only one way with them. It took 2 months to add the child ticket, they could not only book ONE way and the cost of the child ticket is more expensive than the two adults ( since it took them 2 months, the prices are higher). I spent hours, days and 2 months on the phone, none of them willing to help. The name was then misspelled, another DRAMA to correct it. No competent assistence supporting the customers. a disaster... never again!",1,0,en,Bookingstar1
5,Slavka Hansen,unknown,2022-06-06T21:47:52.000Z,The worst customer service in the…,"The worst customer service in the world!I have been booking trips around the world with booking.com for years, but that's over now.I need a customer service support, but there seems to be none. Take my advice and do not spend a minute booking through this company.",1,0,en,Bookingstar1
6,Dag Tinholt,unknown,2022-06-06T20:24:14.000Z,Booking.com dont refund money which is mine!,"Please note.Booking.com dont treat their customers correct.I stayed in Eliassen Rorbuer,Lofoten 20-22march this year.I was given 10 percent discount because no internett in the cabin.Consequently Booking.com paid Eliassen Rorbuer 3503 norwegian kroner but beforehand I had paid Booking.com 3893 kroner.The balance 389 kroner should be refunded me.No reply after several emails and having tried to call them.Small money but please behave fair.From here on I will only use Hotels.com Goodbye Booking.comDag TinholtNorway",1,0,en,Bookingstar1
7,Tinus ,unknown,2022-06-06T19:42:44.000Z,Scammed and Booking won't pay back,"With 6 girls we rented an apartment in Alghero, Sardinia, for 1 night. We arrived in the evening and it turned out that the place didn't exist. There were holiday apartments at that address but not the one that we booked and payed for. We spoke to the owner of the building and he confirmed this. We tried to get in touch with the fake owner but they didnt reply. Then we reached out to Booking.com through their form on the website (multiple times!) but they did not get back to us straight away so we had to find another solution as it was already evening, which made it super stressful! When we got back we reached out to Booking again and ever since we have been in an endless discussion with them as they don't believe the place doesn't exist, even though we have send proof. They said they got in touch with the apartment and that the apartment confirmed they were able to properly accommodate us and that after our checkout Booking.com is not able to help us anymore. It's ridiculous how bad the customer service of Booking is!",1,0,en,Bookingstar1
8,Valerie O'Sullivan,unknown,2022-06-06T16:18:45.000Z,I booked 3 days for £720.00 at Seaford…,"I booked 3 days for £720.00 at Seaford Beach House and when I arrived and checked the accommodation which said was a 3 bedroom house, there were only two. There was a sofa bed in the living room and the mattress was terribly stained. On the floor underneath was full of rubbish. In the advert is said it had a garden it did not it had a terrace which was full of weeds which should have been cleared. Unfortunately we were unable to stay there as it was not fit for purpose. I booked with Booking.com which I would never do again. I have been in touch with them many times but were no able to leave a review???",1,0,en,Bookingstar1
9,Radek Divis,unknown,2022-06-06T14:43:59.000Z,The worst customer service I ´ve ever…,"The worst customer service I ´ve ever met. Bad hotels, horrible customer service  (no answear) !. Avoid !",1,0,en,Bookingstar1
10,Jacqueline Verweij,unknown,2022-06-06T14:24:10.000Z,Booking.com has become a scam company,"Booking.com has become a scam company. I have used booking.com many times in the past, but I do not know if they changed ownership or management, but they have changed for the worse. Their helpline is only there to create a buffer between management and customers. Emails are not answered. We had a booking and suddenly a week later and 2 weeks before our departure they cancelled. Booking said they had tried to contact us because the wrong rate had been applied. I was never contacted but they said they tried to contact us on the app. I do not have the app. These people have my email address and up till then they sent everything to my email address. There was no way I got any communication.And then to change the rate a week later? When I was in touch with the owner the rate had not changed. I just would not get the Booking discount. Not much of a discount if they hold onto 1300 E. The owner says that Booking cancelled and Booking said the owner cancelled. I was on the phone several times with Customer NON service people who are no doubt nice girls who are doing Booking's dirty work. They cannot and will not let you speak to any management. I suspect Booking uses the cash they hold onto for their own purposes as an interest free loan. 7 to 12 days before one gets a refund. In this day and age when money can be transferred across borders within minutes. Really? I also read on other reviews one is lucky to get a refund at all. I will only use Booking as in info website and then go to the property direct. BAD BAD service. DO NOT USE.",1,0,en,Bookingstar1
11,tf,unknown,2022-06-06T13:43:51.000Z,ONLY IF YOU WANT TO RUIN YOUR…,"ONLY IF YOU WANT TO RUIN YOUR HOLIDAYS....We have made a reservation via a link on the site of booking.com (Flight+Hotel).We went to sleep with a confirmation of our holiday and we woke up in the morning to find out that our holiday had been cancelled by lastminute.comI had to make a reservation with a less convenient flight.....But ok, we would still have our holidays!We arrived at the hotel Cleopatra in Sharm El Sheik around 1.30 am. This because of the flight we had to change.... To our surprise there was a problem with the booking. The rate applied to our booking only applies to UK citizens and not to Dutch citizens. In order to check-in I had to leave a large deposit to the check-in desk. According to the employee of Cleopatra Resort, the problem would have been solved in the morning.Unbelievable, what a nice way to start our holidays!To keep a long story short: I have been in touch each day of my staying with the local customer care by persons and of lastminute.com. I have been able to find out that the booking at the hotel had been made by the local office of Sun International on request of Jumbo Travel in Spain based on the booking I had made on Lastminute.com using the link on booking.com........ That sounds quite complex to me but why am I confronted with all of this.I have spent a lot of money calling the customer center of lastminute.com from Egypt. It costs you about 10 dollars only to go through the choices on the phone (they do not offer support via e-mail of chat). Unbelievable!And once I have manage to speak to someone all they could say is that I had to wait. Even when I came back home, the only thing I have heard from lastminute.com support is that I HAD TO WAIT.....well... I have been waiting since Februari now and I still did not get a reply.SHAME ON YOU: lastminute.com, booking.com and Cleopatra resort.Unless you want to ruin your holidays: stay away from lastminute.com (direct of via the link on boking.com)",1,0,en,Bookingstar1
12,Bridie McGlasson,unknown,2022-06-06T11:03:06.000Z,STEALS YOUR MONEY AND DOES NOT REFUND!,"Wouldn’t even give one star. Booked a getaway for £130. No confirmation email so tried to call customer services and email them. Automated voice on customer services literally says she can’t talk to you without a confirmation number. So it took a whole day of back and forth emails with people that honestly did not have a clue what they were doing and who did NOT understand the fact that NO I HAVENT GOT A CONFIRMATION NUMBER!!! Finally after about 4-5 hours of back and forth emails explaining my situation, they explained that it didn’t go through but the money will be refunded. Now, this was in MARCH! I’ve called twice and complained, constantly being told ‘oh it’s coming from Amsterdam so might take awhile ring your bank’ absolute BULL! This company is refusing to refund me £130 for a holiday that didn’t even book and I didn’t go on. In a time where petrol prices and gas prices are crippling everyone, this thieving company is stealing money and refusing to refund. Looking at the reviews I can see I’m not the only one, absolutely disgusting.",1,0,en,Bookingstar1
13,Shelby,unknown,2022-06-06T02:30:36.000Z,Awful customer service,"I booked to stay with City Lifestyle with booking.comOn booking it said to call the property if you were to be checking in late. I emailed them to let them know on booking, then called twice. No one answered or replied to my email. I then got to the property late at night after a flight hoping for the best. However when I got there, there were no instructions for what to do. The door was locked to the building and the hostel was on a different floor. I called the number on the door, someone did answer and said to wait for someone to let me in. After convincing someone, she did let me in, however she was on a different floor so I then had to wait for someone to actually let me onto the right level. This took quite a long time and was quite stressful. Once I finally got to the reception floor, I requested to get the keys out of the lockbox, however the man on the phone demanded a $100 deposit over the phone. I had paid in full prior to arriving and this was no where to be found on the website - I explained that I did not have a card capable of doing so, so in the morning I could pay him in cash or with my Eftpos card. He said no, that I could get cash out now. It was about 10:30pm, and if I were to get cash out it would have required me to again leave the building and try get back in. Plus - if he wasn't there, where the heck was I going to leave the cash anyway? I explained to him that I had given notice that I was going to be late and no one had gotten back to me, so if we could please just let me in my room and we can sort it out in the morning. The man refused, so I said well I guess I can't stay here because if I leave, I can't get back in. He was extremely rude about the entire situation and told me to talk with Booking.com as I requested a refund. So far, I have called Booking.com multiple times and no one has been able to get me an answer, with City Lifestyle labelling me in their system as a ""no show"" therefore I'm ineligible for a refund. It's utter nonsense and lead to me being alone late at night in Melbourne with no where to stay. I have called Booking.com multiple times and emailed them but have had absolutely no luck getting a resolution. The agents I've spoken with can't even speak English and had no idea what my issue was in the first place. One of the agents I spoke to put me on hold after I explained the situation, then she came back on to ask me ""if I stayed there"" ... I was like ... the entire point of the story was that they didn't let me in to stay and now apparently I'm a no show, so no. I did not stay.",1,0,en,Bookingstar1
14,sam glasspool,unknown,2022-06-05T23:13:44.000Z,Goodbye booking.com,"Long term booking.com customer now lost due to their terrible customer experience. Booked and paid in full for a rate, was told that the rate has changed and wanted an additional 40% of what we had already paid. Rather than look at all the bookings we had previously made and admitting their mistake they have instead opted to lose my business. On top of that, took the money immediately and now will take 12 days to refund it. Go direct!",1,0,en,Bookingstar1
15,Maria ,unknown,2022-06-05T22:21:34.000Z,"Terrible Firma,very dangerous to work…","Terrible Firma,very dangerous to work with booking. The partnership is based on putting pressure and fear. It is like communism, like a dictatorship. They decide about everything.",1,0,en,Bookingstar1
16,Phil Keating,unknown,2022-06-05T19:53:39.000Z,Absolutely disgusting service!!,"Absolutely disgusting service!!! Booked accommodation 1.3 miles from the Olympic Park for 4 nights at the Commonwealth Games last November. It was for the Central Stratford Cozy and was so looking forward to a wonderful weekend of sport especially the cycling. Out of the blue I received an email today saying that the booking has been cancelled due to overbooking!! An alternative address was given, 23 miles away, and having to share a bathroom. How on Earth could this happen after booking so far in advance? I suspect that they can now get a higher price and so have took a booking that pays more and so got rid of mine. I actually went on the site and my room is available for 1 night only at double the price if multiplied by 4 nights! Say no more!When I contacted the hotel they told me I was still booked in but that has now changed. I was offered a full refund with which I will have to try and put towards alternative accommodation and hopefully will find somewhere suitable. Just unbelievable and I’d strongly advise anybody to book through this company!! Shameful actions!!",1,0,en,Bookingstar1
17,Peter Gilbert,unknown,2022-06-05T17:50:05.000Z,Had a big problem with our hotel,"Had a big problem with our hotel, it was dirty, and room was  smelly,we stayed one night in a different room, then told they had no room for us. . and when we complained to booking.com they were not interested at all. My advise, don't bother booking through them go with someone else.",1,0,en,Bookingstar1
18,BD,unknown,2022-06-05T17:07:18.000Z,No refund although no working toilet.,We booked a motel in fresno/fresno that had no functioning toilet in our room. We had to book a new room somewhere else on short notice. After three weeks still no refund. Booking.com does not want to help us...will never book through booking.com again...,1,0,en,Bookingstar1
19,bnp touring,unknown,2022-06-05T16:46:43.000Z,Scam hotel on booking.com site,"Scam hotel on booking.com site. We booked and paid a hotel 3 weeks before arriving via booking.com site.Arrived in Boston at 8.30pm to find there was no hotel. Didn't exist and never did. Had to book with Park Plaza across the road at more than twice the price just to get off the street. Booked this through booking.com too to show them what we had to pay. Park Plaza manager told us us and emailed us to confirm that they had contacted booking.com on numerous occasions that this scam existed. Booking.com did nothing about it so we got caught along with others. People we met 2 days later walking around looking for a hotel that didn't exist had also been caught. Asked to speak with booking.com management and they would not come to the phone or email us. Weak and spineless unless all goes well. Had used this site more than 30 times before without a problem. But when there is a problem, you want them to deal with it, not hide. We were told we had to get refund organised directly with hotel, the one that isn't there. Had requested booking.com to cover our cost of rebooking but never a response. I reported this to FTC.",1,0,en,Bookingstar1
20,Sarah,unknown,2022-06-05T16:45:25.000Z,DO NOT USE THIS COMPANY,"Property booked Sobe apts, 3rd Ave Seattle - with free cancellation.  Had to pay in full upfront. Our trip to Alaska got cancelled so we cancelled the property weeks before the free cancellation cut off date. 6 weeks later still no refund. Customer service keeps asking for the same information time and time again but makes zero progress.  Absolutely the WORST BOOKING EXPERIENCE EVER.  AVOID AVOID AVOID",1,0,en,Bookingstar1
21,T Wass,unknown,2022-06-05T15:50:49.000Z,I would give less if I could,I would give less if I could . I’ve recently booked a hotel with them paid at least a week before for the rooms . Only on arrival my daughters rung me to tell me no payment to the hotel .I’m just grateful the hotel had saved the rooms .Just find it awful in todays age and computers this  happens and embarrassing for my girls . Apparently this happens a lot just disgraceful .Do Not  Trust .,1,0,en,Bookingstar1
22,Memeulous Fan account,unknown,2022-06-05T15:11:05.000Z,I would leave zero stars if I could….,I would leave zero stars if I could….Booked two static caravans for a jubilee weekend away. Just about to leave for our trip when I received a message saying the accommodation had been cancelled due to ‘repossession’. When I got through to customer services they failed to inform me that both properties had been repossessed when in fact it was both. The alternative accommodation they offered was in Belgium!!We headed down to the area anyway to have a day trip and had a little wander to the holiday site to see one of the caravans had a family staying in it… so not repossessed at all. Shocking customer service and I will tell everyone I know to avoid.,1,0,en,Bookingstar1
23,Rosie,unknown,2022-06-05T14:27:49.000Z,Booking.com is no longer a company that…,"Booking.com is no longer a company that I would use. The “customer service” team is horrible. They use a support team that does not speak English as a first language and hard to communicate with, unprofessional, tone, etc with customer is terrible. Don’t book with booking.com to save a little bit of money because it is not worth it. Your issue will not get resolved. The person to assist you gets paid to say there is nothing that they can do. Book directly with an airline or a hotel.",1,0,en,Bookingstar1
24,Lionel “Ocean Hunters” Moss,unknown,2022-06-05T13:25:29.000Z,Made a booking with these thieves,"Made a booking with these thieves. Canceled booking during free cancellation period, the hotel I booked had hidden fees so canceled.Was told by booking.com via email refund in 7 to 10 days here is your refund tracking number. After 13 days emailed booking.com, they blamed the hotel for delay, rang the hotel told booking.com has money. Went to my bank filled out funds recovery form”booking.com has the money “ Emailed booking . com regarding my money. They told me to prove funds were taken by booking.comSent them copy of bank statement, copy of there refund email. Copy of refund authority from there app.Then told by booking.com will have money refunded in next 24 hours. Another 4 days later NO REFUND contacted booking.com then told could take 30 days depending on country and bank. The bank response was this is 2022 No one takes that long to return money. It is now 3 weeks 5 days later still no refund. Personal time wasted dealing with these thieves  5 hours. Now I use there search engine find hotel, email hotel direct and get cheaper rate 😌",1,0,en,Bookingstar1
25,Geoffrey,unknown,2022-06-05T12:59:46.000Z,The host never received the booking we paid for!,The host never received the booking request we paid for weeks ago.So after waiting wait too long on a queue for talking to Booking support I was told that I basically had to find a solution by myself.,1,0,en,Bookingstar1
26,Ian,unknown,2022-06-05T11:49:46.000Z,They dont take any responsibility,"property not as advertised, reported to booking.com who offered the same property with the same issue as a solution, but with a higher price.  Pre paid vat invoice to to Booking.com who refer you you to property to issue - property say not vat registered so they can't issue a reciept",1,0,en,Bookingstar1
27,Jodie,unknown,2022-06-05T11:42:12.000Z,Totally disgraceful company,"Totally disgraceful company. Was receiving fraudulent bookings via the booking.com platform (2-3 a day) from people using other peoples credit cards. Tried calling booking.com several times regarding the matter, no one cared, issue not addressed, no one would allow me to speak with a supervisor. Their response - 'sorry for what your experiencing but there's nothing we can do, maybe you can try signing up to one of our programs - for an additional 2.5 percent on top of the already 15% per booking and booking.com can hold a credit card for the bookings - oh wait you need to be invited to that' me: ok what criteria do I need to meet? Booking.com 'oh it's auto generated sorry I can't tell you exactly' me: so what are you planning to do about the fraud 'if there was an alternative solution I'd offer it to you but there's not'. Me: ITS FRAUD your company is under a legal obligation to do something to stop it booking.com 'sorry for what your experiencing I've already explained the options that are available to assist'. This is a company that doesn't care about customer service or running a legally sound business they chase commission from large companies and preference those who have more rooms and pay higher commissions. I look forward to the day someone creates a fair and honest booking platform for smaller hotels. Money makes money right - shame on you booking.com",1,0,en,Bookingstar1
28,Dell Goodman,unknown,2022-06-05T10:01:28.000Z,I am not a member of this site,I am not a member of this site. I keep getting emails saying I made a booking. So I signed up and on this account is indeed bookings made by other individuals. I cancelled them. Added a password to my account. And I still have people making bookings using my details. They aren't logging in but just registered the bookings to my email address. Very poor security.,1,0,en,Bookingstar1
29,Kerry Adamson,unknown,2022-06-05T07:57:31.000Z,Scam,"We were attending an event at Wembley. A massive treat for our family. I booked an apartment One Apartment(still available on their website to date) through this company. Paid £95. I then received email booking confirmation. Second email with terms and conditions advising that a security deposit needed to be paid in cash at the property upon arrival. I then received a third email same heading, same email address stating that due to covid the security deposit needed to be transferred as no cash could be accepted. The booking confirmation first email gave me a mobile number for contact of landlord which is also shown on the website. I received a phone call from this number. I sent text asking who this was, I received message back booking.com.Further phone call from landlord from Sam’s number advising that due to covid exactly what was stating in email advising £250 security deposit needed to be paid and details would be emailed. Did I require parking at the property, yes, £20 parking fee.I finished phone call and received an email from booking.com and a text message containing bank details etc anc I transferred the money. I telephoned the number back off booking.com website not returned call that rang me. The gentleman answered and I advised just wanted to check my reservation was made yes no problem.The next day I received further call from gentleman to check I had received my confirmation I had.Half hour later I received a cancellation email dr booking.com???? I tried to ring number unobtainable, rang number off site unobtainable Rang booking.com they refunded £95 for hotelTo date and this started 17 May I have had every excuse under the sun to not refund the £270The documents I sent I have sent 7 times so far, the excusesDocuments not received Statement does not show payee name and account detailsStatement does not show my merchants name Text message screenshot of phone number is not legibleEmails sent do not show booking.com email address clearly The documents aren’t in pdfThe gentleman name does not match their records!!! But the number they advertise does The amount paid £270 does not match their records for £250 security deposit no because I paid parking too at the same time Ask your bank to stop payment I have they can’t it was a transfer not direct debit Ask for proof they can’t do anythingAbsolutely everything to deflect from themselves and so they don’t have to refund my money from a dealing with their site WRONG WRONG WRONG DO NOT USE",1,0,en,Bookingstar1
30,Lashonda Hudsom,unknown,2022-06-05T02:42:46.000Z,Never book with this company ever,Booking.com is dishonest and don't believe in customer rights and satisfaction. We cancelled a reservation due to the hotel was inappropriate and we have pictures. One representative say one thing and the other say another then the supervisor is never available. They don't resolve customer issues and they are simple. So very disrespectful. Never I mean never book with them.,1,0,en,Bookingstar1
31,Barış Özgün,unknown,2022-06-04T23:59:00.000Z,It is almost impossible to contact support!,"It is almost impossible to contact support, i wait always 30-40  minutes on line and cannot get a proper support. What the company proper does is to charge credit cards! If you need help nobody is there! They always push you to contact hotel directly, what it brings if you have problem with the hotel to contact them! Stupid!",1,0,en,Bookingstar1
32,cliente,unknown,2022-06-04T23:07:49.000Z,I booked an appartement in Lyon (joli…,"I booked an appartement in Lyon (joli appartement). It turned out to be a compelete scam : fake phone number, noone answering the door bell.I called customer service and after 3 hours they told us there's nothing they can do for us except cancel. So here we are 9pm having to find another place to sleep for 3 nights. Thanks for nothing.",1,0,en,Bookingstar1
33,Lee,unknown,2022-06-04T19:20:43.000Z,Beware no refund for dirty apartment,"Beware, Turned up to a apartment and it was filthy and no way could my family stay there so had to book a hotel for the night. Contacted the owner and he wouldn't give us a refund so contacted booking.com to ask for a refund as what I booked through them was not fit to stay in. £100 I paid and £14 has been offered as a refund. I won't book through booking.com again",1,0,en,Bookingstar1
34,Lisiane Fontana,unknown,2022-06-04T18:41:23.000Z,Worst customer service,"I have booked a hotel and was promised to get a free ride from the airport to the hotel and that was the reason I choose booking.com over Airbnb. Then I filled out the taxi link as requested to book the ride but I never got the confirmation email then the nightmare started. I  talked to their customer service via chat who told me to call the taxi team support. I called the taxi team twice and they confirmed there is no booking confirmation on my name then they told me call the booking.com back and ask them for a new link so you can book your taxi. I called them back and the representative told me I needed to contact the taxi team support again as … and so on. Then I got an email from customer support saying that I had completed the booking but they still was not able to communicate anything on the confirmation number, or where the email confirmation is.. then they sent me an email a saying they tried to call me, which is a lie as nobody called me. This is so ridiculous, how hard can it be to solve my issue? If they can not solve that simple thing, imagine if we have a problem with our booking. I want my issue resolved as you promised something and you are not delivering what you promised.",1,0,en,Bookingstar1
